[2026-01-23T16:09:48.885+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025012103.1 already exists. Skipping.
[2026-01-23T16:09:48.894+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025012201.1 already exists. Skipping.
[2026-01-23T16:09:48.899+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025012202.1 already exists. Skipping.
[2026-01-23T16:09:48.905+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025012203.1 already exists. Skipping.
[2026-01-23T16:09:48.911+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025012301.1 already exists. Skipping.
[2026-01-23T16:09:48.918+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025012302.1 already exists. Skipping.
[2026-01-23T16:09:48.933+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025012303.1 already exists. Skipping.
[2026-01-23T16:09:48.944+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025012401.1 already exists. Skipping.
[2026-01-23T16:09:48.952+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025012402.1 already exists. Skipping.
[2026-01-23T16:09:48.959+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025012403.1 already exists. Skipping.
[2026-01-23T16:09:48.968+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025012501.1 already exists. Skipping.
[2026-01-23T16:09:48.978+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025012502.1 already exists. Skipping.
[2026-01-23T16:09:48.984+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025012503.1 already exists. Skipping.
[2026-01-23T16:09:48.998+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025012601.1 already exists. Skipping.
[2026-01-23T16:09:49.005+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025012602.1 already exists. Skipping.
[2026-01-23T16:09:49.013+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025012603.1 already exists. Skipping.
