[2026-01-22T18:29:41.943+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025011302.1 already exists. Skipping.
[2026-01-22T18:29:41.997+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025011303.1 already exists. Skipping.
[2026-01-22T18:29:42.175+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025011401.1 already exists. Skipping.
[2026-01-22T18:29:42.273+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025011402.1 already exists. Skipping.
[2026-01-22T18:29:42.308+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025011403.1 already exists. Skipping.
[2026-01-22T18:29:42.396+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025011501.1 already exists. Skipping.
[2026-01-22T18:29:42.476+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025011502.1 already exists. Skipping.
[2026-01-22T18:29:42.605+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025011503.1 already exists. Skipping.
[2026-01-22T18:29:42.646+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025011601.1 already exists. Skipping.
[2026-01-22T18:29:42.677+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025011602.1 already exists. Skipping.
[2026-01-22T18:29:42.685+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025011603.1 already exists. Skipping.
[2026-01-22T18:29:42.744+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025011701.1 already exists. Skipping.
[2026-01-22T18:29:42.780+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025011702.1 already exists. Skipping.
[2026-01-22T18:29:42.815+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025011703.1 already exists. Skipping.
[2026-01-22T18:29:42.842+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025011801.1 already exists. Skipping.
[2026-01-22T18:29:42.881+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025011802.1 already exists. Skipping.
[2026-01-22T18:29:42.935+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025011803.1 already exists. Skipping.
[2026-01-22T18:29:43.077+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025011901.1 already exists. Skipping.
[2026-01-22T18:29:43.140+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025011902.1 already exists. Skipping.
[2026-01-22T18:29:43.232+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025011903.1 already exists. Skipping.
[2026-01-22T18:29:43.296+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025012001.1 already exists. Skipping.
[2026-01-22T18:29:43.344+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025012002.1 already exists. Skipping.
[2026-01-22T18:29:43.395+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025012003.1 already exists. Skipping.
[2026-01-22T18:29:43.541+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025012101.1 already exists. Skipping.
[2026-01-22T18:29:43.593+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025012102.1 already exists. Skipping.
[2026-01-22T18:29:43.663+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025012103.1 already exists. Skipping.
[2026-01-22T18:29:43.738+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025012201.1 already exists. Skipping.
[2026-01-22T18:29:43.782+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025012202.1 already exists. Skipping.
[2026-01-22T18:29:43.844+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025012203.1 already exists. Skipping.
[2026-01-22T18:29:43.975+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025012301.1 already exists. Skipping.
[2026-01-22T18:29:44.038+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025012302.1 already exists. Skipping.
[2026-01-22T18:29:44.062+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025012303.1 already exists. Skipping.
[2026-01-22T18:29:44.210+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025012401.1 already exists. Skipping.
[2026-01-22T18:29:44.262+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025012402.1 already exists. Skipping.
[2026-01-22T18:29:44.297+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025012403.1 already exists. Skipping.
[2026-01-22T18:29:44.373+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025012501.1 already exists. Skipping.
[2026-01-22T18:29:44.467+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025012502.1 already exists. Skipping.
[2026-01-22T18:29:44.557+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025012503.1 already exists. Skipping.
[2026-01-22T18:29:44.671+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025012601.1 already exists. Skipping.
[2026-01-22T18:29:44.823+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025012602.1 already exists. Skipping.
[2026-01-22T18:29:44.889+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025012603.1 already exists. Skipping.
[2026-01-22T18:29:44.936+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025012701.1 already exists. Skipping.
[2026-01-22T18:29:45.010+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025012702.1 already exists. Skipping.
[2026-01-22T18:29:45.093+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025012703.1 already exists. Skipping.
[2026-01-22T18:29:45.194+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025012801.1 already exists. Skipping.
[2026-01-22T18:29:45.243+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025012802.1 already exists. Skipping.
[2026-01-22T18:29:45.340+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025012803.1 already exists. Skipping.
[2026-01-22T18:29:45.444+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025012901.1 already exists. Skipping.
