[2026-01-23T16:09:48.507+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/03/marginalpdbc_20250311.1 already exists. Skipping download.
[2026-01-23T16:09:48.517+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/03/marginalpdbc_20250312.1 already exists. Skipping download.
[2026-01-23T16:09:48.523+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/03/marginalpdbc_20250313.1 already exists. Skipping download.
[2026-01-23T16:09:48.529+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/03/marginalpdbc_20250314.1 already exists. Skipping download.
[2026-01-23T16:09:48.535+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/03/marginalpdbc_20250315.1 already exists. Skipping download.
[2026-01-23T16:09:48.542+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/03/marginalpdbc_20250316.1 already exists. Skipping download.
[2026-01-23T16:09:48.551+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/03/marginalpdbc_20250317.1 already exists. Skipping download.
[2026-01-23T16:09:48.560+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/03/marginalpdbc_20250318.1 already exists. Skipping download.
[2026-01-23T16:09:48.575+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/03/marginalpdbc_20250319.1 already exists. Skipping download.
[2026-01-23T16:09:48.599+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/03/marginalpdbc_20250320.1 already exists. Skipping download.
[2026-01-23T16:09:48.607+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/03/marginalpdbc_20250321.1 already exists. Skipping download.
[2026-01-23T16:09:48.618+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/03/marginalpdbc_20250322.1 already exists. Skipping download.
[2026-01-23T16:09:48.629+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/03/marginalpdbc_20250323.1 already exists. Skipping download.
