[2026-01-20T21:00:10.118+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/04/marginalpdbc_20250406.1 already exists. Skipping download.
[2026-01-20T21:00:10.121+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/04/marginalpdbc_20250407.1 already exists. Skipping download.
[2026-01-20T21:00:10.124+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/04/marginalpdbc_20250408.1 already exists. Skipping download.
[2026-01-20T21:00:10.127+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/04/marginalpdbc_20250409.1 already exists. Skipping download.
[2026-01-20T21:00:10.130+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/04/marginalpdbc_20250410.1 already exists. Skipping download.
[2026-01-20T21:00:10.133+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/04/marginalpdbc_20250411.1 already exists. Skipping download.
[2026-01-20T21:00:10.136+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/04/marginalpdbc_20250412.1 already exists. Skipping download.
[2026-01-20T21:00:10.139+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/04/marginalpdbc_20250413.1 already exists. Skipping download.
[2026-01-20T21:00:10.142+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/04/marginalpdbc_20250414.1 already exists. Skipping download.
[2026-01-20T21:00:10.145+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/04/marginalpdbc_20250415.1 already exists. Skipping download.
[2026-01-20T21:00:10.149+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/04/marginalpdbc_20250416.1 already exists. Skipping download.
[2026-01-20T21:00:10.152+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/04/marginalpdbc_20250417.1 already exists. Skipping download.
[2026-01-20T21:00:10.156+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/04/marginalpdbc_20250418.1 already exists. Skipping download.
[2026-01-20T21:00:10.160+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/04/marginalpdbc_20250419.1 already exists. Skipping download.
[2026-01-20T21:00:10.163+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/04/marginalpdbc_20250420.1 already exists. Skipping download.
[2026-01-20T21:00:10.166+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/04/marginalpdbc_20250421.1 already exists. Skipping download.
[2026-01-20T21:00:10.169+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/04/marginalpdbc_20250422.1 already exists. Skipping download.
[2026-01-20T21:00:10.172+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/04/marginalpdbc_20250423.1 already exists. Skipping download.
[2026-01-20T21:00:10.175+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/04/marginalpdbc_20250424.1 already exists. Skipping download.
[2026-01-20T21:00:10.178+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/04/marginalpdbc_20250425.1 already exists. Skipping download.
[2026-01-20T21:00:10.183+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/04/marginalpdbc_20250426.1 already exists. Skipping download.
[2026-01-20T21:00:10.186+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/04/marginalpdbc_20250427.1 already exists. Skipping download.
